"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",954.794475608237,4.36845286944352,0.237625507756793,18.3837707941463,1.77210965803056e-75,2.66631619147278e-71
"ENSG00000116584",2277.88540645541,-1.03455434726965,0.0614665097058407,-16.8311874583525,1.4418124555437e-63,1.08467551030552e-59
"ENSG00000179094",743.267869871376,2.86395559361452,0.174788450243017,16.385267960398,2.43692713083778e-60,1.22220018701951e-56
"ENSG00000189221",2383.80178566234,3.34161826486986,0.212449310281819,15.7290144196614,9.56889310343827e-56,3.59933914085831e-52
"ENSG00000120129",3440.77482388957,2.96529154689579,0.203595825164391,14.5645989769265,4.71744687827014e-48,1.41957411460905e-44
"ENSG00000148175",13494.0474329954,1.4272499190753,0.0982018291856701,14.5338425048763,7.39530161995636e-48,1.85449513623106e-44
"ENSG00000178695",2685.34628213822,-2.48897149144362,0.177335470321803,-14.0353843871561,9.46816676731952e-45,2.03511481687271e-41
"ENSG00000134686",2933.67171478147,1.43954836446753,0.103670320450284,13.8858292152948,7.72017244548311e-44,1.45197143268424e-40
"ENSG00000109906",439.55316385149,5.92727741561763,0.433018572170117,13.6882752763062,1.19307645141104e-42,1.99455869865895e-39
"ENSG00000101347",14135.338374708,3.85050197772753,0.286319249679916,13.448281881264,3.15109022937147e-41,4.74113035911232e-38
"ENSG00000096060",2630.29620112414,3.94514614776404,0.29462852501537,13.3902382586962,6.89591777272743e-41,9.43236170985972e-38
"ENSG00000166741",7542.37482163864,2.21966212737481,0.165908895814712,13.3788011575566,8.04342456363757e-41,1.00851138320409e-37
"ENSG00000125148",3695.93338384212,2.19865067703929,0.166153543241667,13.2326439397166,5.68517066503596e-40,6.57992906354854e-37
"ENSG00000162614",5646.26622026756,1.971222148661,0.149042922724942,13.2258688478545,6.2214127539108e-40,6.68624116395299e-37
"ENSG00000106976",989.026069990411,-1.85007672260836,0.14647510437393,-12.6306564553481,1.4307959254192e-36,1.43518369959049e-33
"ENSG00000187193",199.081452754371,3.25523055047331,0.261433238872632,12.4514792553185,1.37276988422066e-35,1.290918479874e-32
"ENSG00000256235",1123.48841590487,1.28024380390474,0.103129080775376,12.4139941351094,2.19427209341551e-35,1.94205987750175e-32
"ENSG00000164125",7257.0594683533,1.0249157734324,0.0840569674977684,12.1931090775979,3.38265078999714e-34,2.82752021034983e-31
"ENSG00000177666",2639.58901198363,1.14008267018004,0.0936781715846137,12.1702062593127,4.47949148899967e-34,3.54728573386784e-31
"ENSG00000198624",2020.08800501421,2.814189328049,0.241344841182488,11.660449480754,2.02968081378116e-31,1.52692887620757e-28
"ENSG00000123562",5008.58102844175,1.00463756994471,0.0865238641873153,11.6111038195171,3.6191313945608e-31,2.5930214744077e-28
"ENSG00000144369",1283.76030241207,-1.30894123924029,0.115203035108836,-11.3620377970398,6.46194657013973e-30,4.41938400428738e-27
"ENSG00000196517",241.909752146585,-2.34553890889351,0.209981477668339,-11.1702181303736,5.70406300712388e-29,3.73144921761678e-26
"ENSG00000163697",2417.27204749605,0.917528823177087,0.0832946623258682,11.0154576242533,3.2189666050981e-28,2.01802381417941e-25
"ENSG00000135821",19973.8557702949,3.0414797799721,0.277259216564459,10.9698058649206,5.33868971305684e-28,3.21303701690613e-25
"ENSG00000164647",1885.63400540577,1.54728510378807,0.141270768402523,10.9526204273158,6.45526619552828e-28,3.7356128914584e-25
"ENSG00000183044",534.271565515299,1.00637157563097,0.0920303005219358,10.935219921303,7.82161046911107e-28,4.3586648562313e-25
