"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000008",95.1442917575889,-0.262373083152843,0.218504501036475,-1.20076740711645,0.229841438140104,0.536181830631855
"FBgn0000014",1.05652281859341,3.28988530366209,2.0527863031,1.6026438303363,0.109013311107605,NA
"FBgn0000017",4352.55356876647,-0.100020130655257,0.112091232699218,-0.892310025027985,0.372226782328684,0.683195420721493
"FBgn0000018",418.61048415965,0.229049127470738,0.130260862036794,1.7583879293386,0.0786815255463694,0.291788667835022
"FBgn0000024",6.406199980976,0.306050642950856,0.751285635377863,0.407369219560449,0.683736830521499,0.880472446679194
"FBgn0000032",989.720216813761,0.237413396111425,0.120285782752789,1.97374444991024,0.0484108081369302,0.217658242771914
"FBgn0000037",14.0946362461153,-0.0496384402035011,0.525157222542382,-0.0945211035338947,0.924695219296344,0.978508349042843
"FBgn0000042",82207.5770960845,-0.0529015395882418,0.123777226287329,-0.427393157651143,0.669092990285864,0.874112951197775
"FBgn0000043",31162.1624470633,-0.0505943856064041,0.111426659660479,-0.454059968777375,0.649785664768233,0.864297593813657
"FBgn0000044",27.0137482331592,0.459661481785876,0.406411862857079,1.13102378103447,0.258045082247561,0.569129575899503
"FBgn0000045",6.49748655242384,0.733798378055874,0.759835591168867,0.965733096191323,0.334177753999745,0.650357197642967
"FBgn0000046",23.6864638428268,0.106713616473049,0.459050443492155,0.232465991452359,0.816176098631695,0.935922678837522
"FBgn0000047",9.27431819012927,0.918251018022744,0.66314491582143,1.38469133384717,0.166146870111868,0.452819222054204
"FBgn0000052",2342.88028633876,-0.190349940406301,0.113418071975186,-1.67830344046006,0.0932878767552269,0.326203203629411
"FBgn0000053",2100.28981569715,-0.246326529377941,0.105757438865061,-2.32916504050589,0.0198503241575335,0.121726581295645
"FBgn0000054",654.284455190874,-0.00341094601222685,0.11881270395054,-0.028708596798258,0.977096999941468,0.992963100331652
"FBgn0000057",682.646276096144,-0.143493477140464,0.113477276975725,-1.26451286957794,0.206046004445392,0.504898097203427
"FBgn0000061",1.57844518449977,-1.10502447476381,1.5717205213843,-0.703066772832205,0.482014137958666,NA
"FBgn0000063",404.768019578647,0.15672722862103,0.125993348438521,1.24393256122965,0.213524384241841,0.514691613857054
"FBgn0000064",7917.1647758766,-0.171140302260797,0.0840220326608229,-2.0368502979647,0.0416650461061251,0.19713168635674
"FBgn0000071",342.246487725455,-0.299619271235521,0.158816965100044,-1.88656968131069,0.0592182278991015,0.246879545441326
"FBgn0000075",2.05242975929599,0.0281297408524204,1.29241657458141,0.0217652275633583,0.982635231996825,NA
"FBgn0000077",224.197561054001,-0.0203399911832253,0.159511147751546,-0.127514543465682,0.898533163122682,0.968085365746905
"FBgn0000078",29.0159476197304,-0.685893687087028,0.3641129288528,-1.88373889729226,0.0596003022186175,0.247661930210607
"FBgn0000079",159.517803392293,-1.12173230179185,0.180279923081882,-6.22216984906506,4.90325796805078e-10,7.93217619208819e-08
"FBgn0000083",5442.63683220394,-0.259119316133272,0.0983009683607623,-2.63597928336077,0.00838948533520231,0.0688893082154579
"FBgn0000084",1695.91739925996,-0.436333614965377,0.0979636657631989,-4.45403519321232,8.42712778888505e-06,0.000334510155842132
"FBgn0000092",12.6131140049369,-0.274468972389901,0.539707570497888,-0.50855127367715,0.611066790612203,0.844075067711252
"FBgn0000094",21.0902154844003,0.0354980830372235,0.462150336815873,0.0768106830383343,0.938774152012973,0.982297762398415
"FBgn0000097",3047.79827438529,0.0180913701670014,0.112749661551597,0.160456092887892,0.872521806221562,0.957139453242537
"FBgn0000099",1.6717945514114,-0.145190194820873,1.4983807393806,-0.0968980653614726,0.922807345196692,NA
"FBgn0000100",25406.8000084021,-0.273930160513045,0.0882869560497616,-3.10272516767538,0.00191747618719729,0.0244807324578926
"FBgn0000108",50.0740812892028,-0.426658725640271,0.338282815534975,-1.2612485945097,0.20721929559316,0.505893576428176
"FBgn0000109",132.527246600912,0.481027837715881,0.231208362875727,2.08049497748674,0.0374801558342291,0.185526459447447
"FBgn0000114",3.69104692641079,0.0154389394188389,1.09915358541907,0.0140462075761256,0.98879311635051,NA
"FBgn0000115",572.477385138436,-0.0347754466583902,0.120456307062927,-0.288697599206849,0.772812800068078,0.919892327332146
"FBgn0000116",658.401186017792,-0.368845436949817,0.144571587266835,-2.55129962894467,0.0107322015494996,0.0810016690892691
"FBgn0000117",10812.6755571224,-0.219916133310595,0.0863400529122441,-2.54709287164924,0.0108624520250517,0.0814811668595905
"FBgn0000119",643.493058060137,-0.0823804528520075,0.117175974729863,-0.703049008484266,0.482025208160427,0.763651909602273
"FBgn0000121",9.08014558137973,0.761715468468816,0.639485345410033,1.19113827069862,0.233599307957205,0.540494613908034
"FBgn0000139",647.185703924521,0.0391319075123931,0.114404333449118,0.342049171850621,0.732313887757587,0.902046232052735
"FBgn0000140",945.991217711094,0.230864117098047,0.118243267439788,1.95245041934931,0.050884751970087,0.225005602574278
"FBgn0000142",1905.90455042107,-0.0556808769043787,0.103244099922667,-0.53931291905383,0.589670956064498,0.831903821269643
"FBgn0000146",1576.30805874511,0.0786246144280707,0.0981984884509014,0.800670312429325,0.423322533611359,0.723412454973154
"FBgn0000147",415.444890279629,-0.0268148594002038,0.137937940936141,-0.194397996796385,0.845864258327399,0.948288658012591
